Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.0373185,0.0364484
1,0,0,0.0355677,0.034185
2,0,0,0.0323603,0.0303362
3,0,0,0.0288957,0.0271496
4,0,0,0.0262456,0.0247513
5,0,0.025,0.02419,0.0228022
6,0.0500042,0.025,0.0225006,0.021205
7,0.0833403,0.2,0.021099,0.0198864
8,0.258355,0.475,0.0199206,0.018777
9,0.741728,1.1,0.0189141,0.0178332
10,1.25844,1.875,0.0180445,0.0170255
11,2.0585,2.8,0.0172913,0.0163356
12,2.8169,4.025,0.0166391,0.0157424
13,3.87532,5,0.0160709,0.0152281
14,4.90874,6.025,0.0155721,0.0147779
15,5.86716,6.825,0.0151303,0.0143797
16,6.82557,7.725,0.0147355,0.0140239
17,7.76731,8.75,0.0143793,0.0137026
18,8.66739,9.875,0.0140545,0.0134081
19,9.60913,10.75,0.013754,0.0131327
20,10.6009,11.8,0.0134706,0.0128706
21,11.5426,12.6,0.0132004,0.0126226
22,12.4844,13.55,0.0129462,0.0123936
23,13.5511,14.775,0.0127111,0.0121847
24,14.5179,15.475,0.0124944,0.0119936
25,15.4263,16.675,0.0122936,0.0118173
26,16.343,17.975,0.0121059,0.0116532
27,17.0764,19.2,0.0119289,0.0114995
28,17.8682,20.025,0.0117607,0.0113543
29,18.5515,20.7,0.0115999,0.0112162
30,19.1599,21.375,0.0114457,0.0110844
31,19.8183,22.05,0.0112982,0.0109583
32,20.5767,22.575,0.0111575,0.0108376
33,21.2018,23.2,0.0110235,0.0107222
34,21.8268,24.3,0.010896,0.010612
35,22.4435,24.825,0.0107746,0.0105067
36,22.9519,25.45,0.0106587,0.010406
37,23.4936,25.9,0.010548,0.0103097
38,23.927,26.475,0.010442,0.0102175
39,24.4604,26.85,0.0103402,0.010129
40,25.0271,27.175,0.0102422,0.010044
41,25.5605,27.525,0.0101477,0.00996216
42,25.9355,27.875,0.0100562,0.00988335
43,26.4355,28.525,0.00996756,0.0098074
44,26.8606,28.825,0.00988145,0.00973406
45,27.1939,29.25,0.00979764,0.00966303
46,27.6773,29.7,0.00971583,0.00959405
47,28.044,30.15,0.00963571,0.00952687
48,28.4524,30.375,0.00955699,0.00946122
49,28.7607,30.85,0.00947941,0.00939688
50,29.1358,31.35,0.00940294,0.00933381
51,29.5358,31.675,0.00932781,0.00927216
52,29.8525,31.9,0.00925445,0.00921214
53,30.2275,32.3,0.00918325,0.00915385
54,30.6609,32.625,0.00911433,0.00909729
55,31.0109,32.975,0.00904761,0.00904238
56,31.3776,33.4,0.00898291,0.00898902
57,31.811,33.7,0.00892004,0.0089371
58,32.186,34.025,0.00885883,0.00888654
59,32.511,34.225,0.00879914,0.00883726
60,32.8694,34.6,0.00874087,0.00878918
61,33.2528,34.9,0.00868392,0.00874224
62,33.6195,35.2,0.00862823,0.00869641
63,33.9862,35.6,0.00857374,0.00865162
64,34.2945,35.925,0.00852039,0.00860783
65,34.5862,36.2,0.00846815,0.00856498
66,34.8112,36.325,0.00841698,0.00852302
67,35.0113,36.575,0.00836684,0.00848188
68,35.2196,36.675,0.0083177,0.00844149
69,35.4613,37,0.00826954,0.00840181
70,35.7446,37.125,0.00822233,0.00836278
71,36.103,37.3,0.00817605,0.00832435
72,36.2447,37.6,0.00813067,0.0082865
73,36.4364,38.05,0.00808618,0.00824917
74,36.6447,38.375,0.00804255,0.00821237
75,36.8031,38.65,0.00799977,0.00817605
76,37.0781,38.725,0.0079578,0.00814021
77,37.4365,39.05,0.00791663,0.00810483
78,37.6281,39.225,0.00787622,0.0080699
79,37.8948,39.55,0.00783657,0.00803539
80,38.2282,39.825,0.00779763,0.00800131
81,38.4782,40.075,0.00775938,0.00796764
82,38.6199,40.275,0.00772179,0.00793439
83,38.8199,40.475,0.00768483,0.00790155
84,39.0033,40.65,0.00764846,0.00786914
85,39.2533,40.975,0.00761267,0.00783719
86,39.4366,41.175,0.00757741,0.00780572
87,39.6366,41.5,0.00754268,0.0077748
88,39.82,41.675,0.00750844,0.00774445
89,39.945,41.8,0.00747468,0.00771474
90,40.1283,42.125,0.00744141,0.00768568
91,40.3534,42.35,0.0074086,0.0076573
92,40.5284,42.625,0.00737628,0.00762959
93,40.6117,42.875,0.00734442,0.00760253
94,40.7451,43.075,0.00731304,0.00757609
95,40.9117,43.35,0.00728213,0.00755025
96,41.0784,43.575,0.00725168,0.00752496
97,41.1868,43.7,0.00722168,0.00750019
98,41.3784,43.875,0.00719213,0.00747593
99,41.5618,44,0.00716301,0.00745215
100,41.6868,44.25,0.00713431,0.00742884
101,41.9118,44.375,0.00710602,0.00740597
102,42.0785,44.45,0.00707811,0.00738353
103,42.3202,44.575,0.00705058,0.0073615
104,42.4619,44.7,0.00702342,0.00733988
105,42.6952,45.025,0.0069966,0.00731865
106,42.8702,45.125,0.00697012,0.00729779
107,43.0369,45.35,0.00694396,0.00727729
108,43.1869,45.525,0.00691811,0.00725714
109,43.2703,45.6,0.00689255,0.00723732
110,43.3619,45.8,0.00686728,0.00721782
111,43.4786,45.8,0.00684228,0.00719864
112,43.6536,45.875,0.00681754,0.00717974
113,43.8287,46.05,0.00679305,0.00716113
114,44.0787,46.2,0.00676881,0.00714278
115,44.1703,46.25,0.00674479,0.00712468
116,44.3537,46.425,0.00672098,0.00710682
117,44.5454,46.5,0.00669737,0.00708918
118,44.6704,46.65,0.00667394,0.00707174
119,44.8287,46.775,0.00665067,0.00705447
120,44.8871,46.825,0.00662753,0.00703734
