Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,22.9532,42.0944,0.135179,0.100064
1,44.8671,53.8826,0.0776308,0.112779
2,50.6435,58.8153,0.0643793,0.114443
3,55.5634,64.6965,0.0529703,0.123469
4,59.6456,63.8646,0.0478573,0.0845219
5,62.6792,69.1382,0.0426375,0.100764
6,66.4819,72.2618,0.040066,0.19096
7,69.4065,70.8479,0.0365644,0.131647
8,71.1218,73.0771,0.0345484,0.097936
9,72.8713,72.959,0.0324698,0.0840843
10,74.6326,74.091,0.0310526,0.0729269
11,76.141,76.6924,0.030087,0.0528317
12,77.3102,75.4132,0.0294211,0.0923533
13,78.2447,76.8104,0.029239,0.0683951
14,79.0167,75.9979,0.0288383,0.107984
15,79.6065,78.4243,0.0286114,0.0706447
16,79.975,79.2521,0.0283638,0.0539231
17,80.3512,78.2493,0.0280039,0.0755187
18,80.5799,78.0694,0.0282949,0.0758734
19,80.7266,79.1229,0.0277469,0.0564402
20,80.909,78.7701,0.0274115,0.0819928
21,81.038,79.4833,0.0271812,0.0718769
22,80.9278,79.8653,0.0273889,0.0472327
23,81.0863,79.6333,0.0269495,0.0732839
24,81.4301,80.35,0.0270803,0.0515477
25,81.9748,81.8618,0.0266396,0.0347373
26,81.9947,80.3194,0.0264095,0.0674947
27,82.2817,79.441,0.0262055,0.0601852
28,82.2532,80.3389,0.0260502,0.075383
29,82.2993,80.7215,0.0257923,0.0677551
30,82.3537,80.1931,0.0256313,0.052046
31,82.3711,82.1576,0.0254011,0.0412313
32,82.4956,81.4347,0.0252553,0.0677137
33,82.5058,82.3563,0.0249102,0.0390166
34,82.6243,82.8493,0.0246704,0.0346226
35,82.6111,82.4229,0.0244684,0.0469571
36,82.694,81.2347,0.0243881,0.0600392
37,82.7484,82.0264,0.0242637,0.0408262
38,82.9014,80.5375,0.0239217,0.0544047
39,82.7917,83.1271,0.023951,0.0294534
40,82.788,82.45,0.0236674,0.0368793
41,83.0201,82.1729,0.0233464,0.0484602
42,83.0359,82.5306,0.0232728,0.0435183
43,83.0481,82.8375,0.0232517,0.0311823
44,83.2833,83.259,0.0231652,0.0277039
45,83.2023,81.5493,0.0229525,0.0656171
46,83.2468,82.7493,0.0229702,0.0309663
47,83.4176,83.4729,0.0229359,0.0374452
48,83.4465,82.1063,0.0227534,0.0533183
49,83.5694,82.7299,0.0225656,0.0453713
